Model,Sample,Strategy,f1_phi,prec_phi,rec_phi,Weighted_MAE,MAE,RMSE,Tail_MAE,Tail_RMSE,tail_n
LinearRegression,0_1,Baseline,0.8544,0.8907,0.8209,30.0667,22.1764,50.7607,125.6561,182.2604,425862.0
LinearRegression,0_1,GaussNoise,0.2016,0.1609,0.2698,42.7935,41.5229,57.6814,97.4226,164.1814,425862.0
LinearRegression,0_1,RO,0.5421,0.4694,0.6415,34.6693,30.332,52.3464,112.1673,173.3532,425862.0
LinearRegression,0_1,RU,0.6868,0.6453,0.734,33.1158,27.8828,51.5945,115.8537,175.7411,425862.0
LinearRegression,0_1,SMOTER,0.533,0.4593,0.635,34.6049,30.2373,52.335,112.1703,173.3843,425862.0
LinearRegression,0_1,WERCS,0.7375,0.7123,0.7645,32.7856,27.3325,51.4482,116.7694,176.3282,425862.0
LinearRegression,0_25,Baseline,0.8544,0.8908,0.8209,30.0759,22.1945,50.7606,125.6292,182.2406,425862.0
LinearRegression,0_25,GaussNoise,0.2018,0.1609,0.2708,42.7736,41.4979,57.6715,97.4213,164.1877,425862.0
LinearRegression,0_25,RO,0.5425,0.4698,0.6417,34.66,30.3177,52.342,112.1859,173.365,425862.0
LinearRegression,0_25,RU,0.6854,0.6434,0.7333,33.1442,27.9296,51.604,115.8081,175.7084,425862.0
LinearRegression,0_25,SMOTER,0.5323,0.4585,0.6345,34.6209,30.2615,52.3443,112.1241,173.3564,425862.0
LinearRegression,0_25,WERCS,0.7352,0.7093,0.7631,32.7828,27.3289,51.4485,116.7588,176.3252,425862.0
LinearRegression,0_5,Baseline,0.8544,0.8907,0.8209,30.077,22.1947,50.7606,125.639,182.2464,425862.0
LinearRegression,0_5,GaussNoise,0.2021,0.1608,0.2717,42.7641,41.4851,57.6674,97.4173,164.1888,425862.0
LinearRegression,0_5,RO,0.5429,0.4702,0.642,34.6609,30.3189,52.3418,112.1894,173.3655,425862.0
LinearRegression,0_5,RU,0.6864,0.6447,0.7339,33.1442,27.9296,51.6027,115.818,175.7135,425862.0
LinearRegression,0_5,SMOTER,0.5329,0.4591,0.6349,34.6218,30.263,52.3436,112.128,173.3577,425862.0
LinearRegression,0_5,WERCS,0.7332,0.7066,0.7619,32.7863,27.3353,51.4509,116.7385,176.314,425862.0
LinearRegression,1_0,Baseline,0.8544,0.8908,0.821,30.0779,22.197,50.7606,125.6312,182.2407,425862.0
LinearRegression,1_0,GaussNoise,0.202,0.1608,0.2715,42.7609,41.4811,57.6661,97.4144,164.1885,425862.0
LinearRegression,1_0,RO,0.5425,0.4698,0.6418,34.664,30.324,52.3431,112.1852,173.3628,425862.0
LinearRegression,1_0,RU,0.6869,0.6453,0.7342,33.141,27.9244,51.6012,115.827,175.7192,425862.0
LinearRegression,1_0,SMOTER,0.5333,0.4595,0.6352,34.6215,30.2622,52.3432,112.1303,173.3584,425862.0
LinearRegression,1_0,WERCS,0.7322,0.7053,0.7613,32.7866,27.3363,51.4519,116.7299,176.3097,425862.0
SVR,0_0002,SMOTER,0.8416,0.8804,0.8062,29.6149,20.582,50.9449,129.9165,185.12,425862.0
SVR,0_001,SMOTER,0.8412,0.8791,0.8065,29.5318,20.501,50.9132,129.758,185.0311,425862.0
SVR,1e-05,Baseline,0.8414,0.8866,0.8006,29.6888,20.3053,51.1231,131.3969,186.0885,425862.0
SVR,1e-05,GaussNoise,0.7223,0.6925,0.7547,32.8736,27.4415,51.5837,116.6376,176.3725,425862.0
SVR,1e-05,RO,0.8467,0.8877,0.8093,29.7745,21.0007,50.9167,129.0978,184.5585,425862.0
SVR,1e-05,RU,0.8453,0.8934,0.8021,29.8045,20.5477,51.1071,131.0497,185.8454,425862.0
SVR,1e-05,SMOTER,0.8453,0.8876,0.807,29.7299,20.7894,50.9686,129.7028,184.9731,425862.0
SVR,1e-05,WERCS,0.8428,0.8865,0.8032,29.7334,20.5359,51.0575,130.732,185.6374,425862.0
SVR,5e-05,Baseline,0.8398,0.8844,0.7995,29.6415,20.173,51.1466,131.6661,186.2834,425862.0
SVR,5e-05,GaussNoise,0.7544,0.7392,0.7703,31.6921,25.4352,51.1763,118.964,177.9644,425862.0
SVR,5e-05,RO,0.8452,0.8871,0.8071,29.7153,20.7768,50.9638,129.6462,184.9444,425862.0
SVR,5e-05,RU,0.843,0.887,0.8032,29.7308,20.5231,51.0645,130.7986,185.6873,425862.0
SVR,5e-05,SMOTER,0.8473,0.8868,0.8112,29.72,21.0638,50.8661,128.4245,184.149,425862.0
SVR,5e-05,WERCS,0.8402,0.8823,0.802,29.6694,20.3696,51.0746,131.0369,185.8512,425862.0
SVR,_0_0001,Baseline,0.8401,0.8853,0.7994,29.6381,20.1579,51.1507,131.7059,186.31,425862.0
SVR,_0_0001,GaussNoise,0.7408,0.72,0.7628,31.8589,25.7414,51.2564,118.2908,177.5453,425862.0
SVR,_0_0001,RO,0.842,0.8829,0.8047,29.6549,20.5361,50.9978,130.3344,185.3924,425862.0
SVR,_0_0001,RU,0.8439,0.8869,0.8048,29.6809,20.5764,51.0105,130.3015,185.3636,425862.0
SVR,_0_0001,SMOTER,0.8447,0.8841,0.8086,29.6704,20.8228,50.9108,129.1731,184.6393,425862.0
SVR,_0_0001,WERCS,0.8399,0.8822,0.8014,29.6696,20.3327,51.0924,131.1814,185.9453,425862.0
SVR2,0_05,Baseline,0.8367,0.876,0.8009,29.6622,20.1621,51.1694,131.8098,186.3796,425862.0
SVR2,0_05,GaussNoise,0.8679,0.9006,0.8375,31.7204,25.4032,51.0332,120.821,178.9589,425862.0
SVR2,0_05,RO,0.8348,0.8733,0.7995,29.6616,20.1629,51.1684,131.8036,186.3755,425862.0
SVR2,0_05,RU,0.8354,0.8739,0.8001,29.6621,20.1621,51.1694,131.8096,186.3795,425862.0
SVR2,0_05,SMOTER,0.8354,0.874,0.8001,29.66,20.1725,51.1618,131.7584,186.3449,425862.0
SVR2,0_05,WERCS,0.8351,0.8727,0.8007,29.6622,20.1621,51.1694,131.8096,186.3795,425862.0
SVR2,0_1,Baseline,0.8351,0.8765,0.7974,29.6621,20.1619,51.1695,131.8102,186.3799,425862.0
SVR2,0_1,GaussNoise,0.8677,0.9004,0.8372,31.6595,25.3027,51.0188,120.9179,179.0339,425862.0
SVR2,0_1,RO,0.8357,0.8744,0.8003,29.662,20.1628,51.1689,131.806,186.377,425862.0
SVR2,0_1,RU,0.8342,0.8736,0.7983,29.662,20.1618,51.1695,131.8101,186.3798,425862.0
SVR2,0_1,SMOTER,0.8358,0.8747,0.8003,29.6601,20.1738,51.1612,131.7537,186.3419,425862.0
SVR2,0_1,WERCS,0.8345,0.8745,0.798,29.6621,20.1618,51.1695,131.8102,186.3799,425862.0
SVR2,0_3,Baseline,0.835,0.8751,0.7984,29.6621,20.1619,51.1695,131.8101,186.3798,425862.0
SVR2,0_3,GaussNoise,0.8676,0.9004,0.8371,31.6567,25.2964,51.0173,120.9323,179.0418,425862.0
SVR2,0_3,RO,0.8351,0.8743,0.7993,29.6614,20.1628,51.1683,131.8029,186.375,425862.0
SVR2,0_3,RU,0.8336,0.8724,0.7981,29.662,20.1618,51.1695,131.8102,186.3798,425862.0
SVR2,0_3,SMOTER,0.8356,0.8742,0.8002,29.6606,20.1715,51.1628,131.7648,186.3493,425862.0
SVR2,0_3,WERCS,0.8345,0.8742,0.7983,29.6621,20.1619,51.1695,131.8101,186.3798,425862.0
SVR2,_0_2,Baseline,0.8383,0.879,0.8011,29.6622,20.1622,51.1694,131.8097,186.3795,425862.0
SVR2,_0_2,GaussNoise,0.8679,0.9006,0.8374,31.6959,25.3651,51.0286,120.8419,178.9783,425862.0
SVR2,_0_2,RO,0.8361,0.8753,0.8003,29.6617,20.1637,51.1681,131.801,186.3737,425862.0
SVR2,_0_2,RU,0.8348,0.8741,0.799,29.6621,20.1619,51.1694,131.8099,186.3797,425862.0
