Model,Sample,Strategy,f1_phi,prec_phi,rec_phi,Weighted_MAE,MAE,RMSE,Tail_MAE,Tail_RMSE,tail_n
LinearRegression,1_0,Baseline,0.8544,0.8908,0.821,30.0779,22.197,50.7606,125.6312,182.2407,425862.0
LinearRegression,1_0,GaussNoise,0.202,0.1608,0.2715,42.7609,41.4811,57.6661,97.4144,164.1885,425862.0
LinearRegression,1_0,RO,0.5425,0.4698,0.6418,34.664,30.324,52.3431,112.1852,173.3628,425862.0
LinearRegression,1_0,RU,0.6869,0.6453,0.7342,33.141,27.9244,51.6012,115.827,175.7192,425862.0
LinearRegression,1_0,SMOTER,0.5333,0.4595,0.6352,34.6215,30.2622,52.3432,112.1303,173.3584,425862.0
LinearRegression,1_0,WERCS,0.7322,0.7053,0.7613,32.7866,27.3363,51.4519,116.7299,176.3097,425862.0
SVR,0_0001,Baseline,0.8396,0.884,0.7995,29.6351,20.1653,51.1441,131.6596,186.2798,425862.0
SVR,0_0001,GaussNoise,0.7436,0.724,0.7643,31.853,25.7129,51.2527,118.4845,177.6488,425862.0
SVR,0_0001,RO,0.8424,0.8828,0.8055,29.6744,20.6184,50.9812,130.1048,185.2391,425862.0
SVR,0_0001,RU,0.8415,0.8836,0.8033,29.6847,20.4764,51.0429,130.717,185.635,425862.0
SVR,0_0001,SMOTER,0.844,0.8834,0.8079,29.6614,20.7677,50.9234,129.3686,184.765,425862.0
SVR,0_0001,WERCS,0.8403,0.8833,0.8014,29.6727,20.3341,51.0957,131.196,185.9604,425862.0
SVR2,0_2,Baseline,0.8352,0.8752,0.7987,29.6621,20.1619,51.1695,131.8101,186.3798,425862.0
SVR2,0_2,GaussNoise,0.8674,0.9002,0.8369,31.6212,25.2318,51.0082,121.0285,179.1082,425862.0
SVR2,0_2,RO,0.8357,0.8745,0.8001,29.6616,20.1638,51.168,131.8004,186.3733,425862.0
SVR2,0_2,RU,0.8353,0.8725,0.8011,29.6623,20.1626,51.1693,131.8087,186.3788,425862.0
SVR2,0_2,SMOTER,0.8356,0.8741,0.8003,29.6598,20.1752,51.1601,131.7467,186.337,425862.0
SVR2,0_2,WERCS,0.834,0.8734,0.7981,29.6621,20.1619,51.1695,131.8101,186.3798,425862.0
LightGBM,0_1,Baseline,0.8013,0.8526,0.7558,27.0654,14.3946,52.737,140.5656,192.8008,425862.0
LightGBM,0_1,GaussNoise,0.8145,0.8533,0.7792,26.412,15.1719,51.5452,133.5934,188.2739,425862.0
LightGBM,0_1,RO,0.8146,0.8503,0.7818,26.3327,15.4231,51.2903,131.8206,187.1351,425862.0
LightGBM,0_1,RU,0.8102,0.8492,0.7746,26.354,14.8222,51.6713,134.5682,188.935,425862.0
LightGBM,0_1,SMOTER,0.8057,0.8488,0.7668,26.6921,14.6143,52.1486,137.5629,190.8116,425862.0
LightGBM,0_1,WERCS,0.7717,0.7631,0.7805,27.8518,20.255,50.137,117.2663,177.5389,425862.0
RandomForest,0_01,Baseline,0.82,0.8335,0.8069,29.0557,21.3952,50.2086,121.5366,179.6253,425862.0
RandomForest,0_01,GaussNoise,0.6764,0.6309,0.7291,32.5771,27.3761,51.3521,112.5767,173.7128,425862.0
RandomForest,0_01,RO,0.6112,0.5487,0.6898,33.2996,28.7801,51.6001,107.5992,170.5512,425862.0
RandomForest,0_01,RU,0.6988,0.659,0.7437,32.0926,26.7871,51.0491,111.8374,173.3081,425862.0
RandomForest,0_01,SMOTER,0.7044,0.6665,0.7469,31.5467,26.043,50.8032,111.8043,173.3113,425862.0
RandomForest,0_01,WERCS,0.3095,0.2362,0.449,39.8934,37.7708,55.9924,95.3747,162.7193,425862.0
